I,11,ACEH
11.15.03, 3 Seunagan Timur
11.15.04, 4 Beutong
11.15.05, 5 Darul Makmur
11.15.06, 6 Suka Makmue
11.15.07, 7 Kuala Pesisir
11.15.08, 8 Tadu Raya
"", 9
11.15.09,Tripa Makmur
11.15.10, 10 Beutong Ateuh Banggalang
11.16, 16 KAB. ACEH TAMIANG
11.16.01, 1 Manyak Payed
11.16.02, 2 Bendahara
11.16.03, 3 Karang Baru
11.16.04, 4 Seruway
11.16.05, 5 Kota Kualasinpang
11.16.06, 6 Kejuruan Muda
11.16.07, 7 Tamiang Hulu
11.16.08, 8 Rantau
11.16.09, 9 Banda Mulia
11.16.10, 10 Bandar Pusaka
11.16.11, 11 Tenggulun
11.16.12, 12 Sekerak
11.17, 17 KAB. BENER MERIAH
11.17.01, 1 Pintu Rime Gayo
11.17.02, 2 Permata
11.17.03, 3 Syiah Utama
11.17.04, 4 Bandar
11.17.05, 5 Bukit
11.17.06, 6 Wih Pesam
11.17.07, 7 Timang gajah
11.17.08, 8 Bener Kelipah
11.17.09, 9 Mesidah
11.17.10, 10 Gajah Putih
11.18, 18 KAB. PIDIE JAYA
11.18.01, 1 Meureudu
11.18.02, 2 Ulim
11.18.03, 3 Jangka Buaya
11.18.04, 4 Bandar Dua
11.18.05, 5 Meurah Dua
11.18.06, 6 Bandar Baru
11.18.07, 7 Panteraja
11.18.08, 8 Trienggadeng
11.71, 19 KOTA BANDA ACEH
11.71.01, 1 Baiturrahman
11.71.02, 2 Kuta Alam
11.71.03, 3 Meuraxa
"", 4
11.71.04,Syiah Kuala
"",11.71.05, 5 Lueng Bata
"",11.71.06, 6 Kuta Raja
"",11.71.07, 7 Banda Raya
"",11.71.08, 8 Jaya Baru
"",11.71.09, 9 Ulee Kareng
"",11.72, 20 KOTA SABANG
"",11.72.01, 1 Sukakarya
"",11.72.02, 2 Sukajaya
"",11.73, 21 KOTA LHOKSEUMAWE
"",11.73.01, 1 Muara Dua
"",11.73.02, 2 Banda Sakti
"",11.73.03, 3 Blang Mangat
"",11.73.04, 4 Muara Satu
